target_task,prior_history,prior_tasks,seed,prior_history_valid,strategy,source_task,compatibility_score,solve_accuracy,adaptation_steps,fixed_budget,target_attempted,acquisition_success,heldout_accuracy,heldout_mse,addition_prior_steps,addition_prior_success,multiplication_prior_steps,multiplication_prior_success
squares,addition,addition,12,True,scratch,,5.6828721491095726e-08,0.0,1444.0,1500,True,True,0.8466666666666667,0.21298139082377365,264.0,True,,
squares,addition,addition,13,True,scratch,,1.5723364541618665e-09,0.03125,1500.0,1500,True,False,0.7133333333333334,0.26082052519431914,331.0,True,,
squares,addition,addition,14,True,scratch,,3.9209504962549075e-09,0.0,1500.0,1500,True,False,0.73,0.18050207593592735,333.0,True,,
squares,addition+multiplication,addition+multiplication,0,True,scratch,,0.0015012709886320827,0.171875,1500.0,1500,True,False,0.8333333333333334,0.15684257042518257,289.0,True,1266.0,True
squares,addition+multiplication,addition+multiplication,1,True,scratch,,0.0001728763128388417,0.078125,1500.0,1500,True,False,0.85,0.12568562431343466,324.0,True,1103.0,True
squares,addition+multiplication,addition+multiplication,2,True,scratch,,0.0001708529055217021,0.15625,1500.0,1500,True,False,0.79,0.21875408744794422,310.0,True,1413.0,True
squares,addition+multiplication,addition+multiplication,3,True,scratch,,0.0024095293353676712,0.046875,1492.0,1500,True,True,0.78,0.14146568716665844,327.0,True,1114.0,True
squares,addition+multiplication,addition+multiplication,4,True,scratch,,1.3335366892014616e-05,0.15625,1500.0,1500,True,False,0.6266666666666667,0.2905124804705819,263.0,True,1370.0,True
squares,addition+multiplication,addition+multiplication,5,True,scratch,,0.00273574448535392,0.125,1500.0,1500,True,False,0.7766666666666666,0.16921834079435108,314.0,True,1171.0,True
squares,addition+multiplication,addition+multiplication,6,True,scratch,,0.00011131996262411202,0.125,1500.0,1500,True,False,0.6566666666666666,0.2617339364508779,287.0,True,1169.0,True
squares,addition+multiplication,addition+multiplication,7,True,scratch,,4.6485249074746816e-05,0.15625,1500.0,1500,True,False,0.75,0.20036342732364867,281.0,True,1226.0,True
squares,addition+multiplication,addition+multiplication,8,True,scratch,,0.00010848737496677239,0.125,1496.0,1500,True,True,0.7966666666666666,0.15820574600131276,326.0,True,1137.0,True
squares,addition+multiplication,addition+multiplication,9,True,scratch,,0.00022402017811218924,0.125,1500.0,1500,True,False,0.72,0.17556785778013326,253.0,True,1139.0,True
squares,addition+multiplication,addition+multiplication,10,True,scratch,,0.00041825849261814194,0.171875,1500.0,1500,True,False,0.7766666666666666,0.20392975860581822,280.0,True,872.0,True
