seed,source_task,target_task,compatibility_score,calibration_mse,calibration_accuracy,solved_label,original_reuse,false_reuse,calibrated_score_reuse,calibrated_false_reuse
12,subtraction,powers,0.7673358893789449,20.07549011354807,0.06333333333333334,False,False,False,False,False
12,multiplication,addition,0.0013533305041515586,372.9819352122656,0.006666666666666667,False,False,False,False,False
12,multiplication,subtraction,2.3204108670527711e-07,877.7636405640405,0.01,False,False,False,False,False
12,multiplication,multiplication,0.9950376254456744,0.2899449051878422,0.8733333333333333,True,True,False,True,False
12,multiplication,powers,0.9290027182743401,5.877691056761576,0.27666666666666667,False,True,True,False,False
12,powers,addition,0.03882723554048212,207.7143177808748,0.013333333333333334,False,False,False,False,False
12,powers,subtraction,0.00012264980984539757,578.6105999672654,0.006666666666666667,False,False,False,False,False
12,powers,multiplication,0.006107842095437587,207.2394764548449,0.05333333333333334,False,False,False,False,False
12,powers,powers,0.9979366612154861,0.10909900024263576,0.8733333333333333,True,True,False,True,False
13,addition,addition,0.9979214004905536,0.16888446962943596,0.8133333333333334,False,True,True,True,True
13,addition,subtraction,0.1892018472817161,116.2860474767618,0.06333333333333334,False,False,False,False,False
13,addition,multiplication,0.010306366362567636,360.03039127467764,0.04666666666666667,False,False,False,False,False
13,addition,powers,0.8011561964885187,8.614956430648387,0.15,False,False,False,False,False
13,subtraction,addition,0.11095525277627802,117.77235218393983,0.04,False,False,False,False,False
13,subtraction,subtraction,0.9976219757278469,0.12076403374131814,0.88,True,True,False,True,False
13,subtraction,multiplication,1.6371072241026972e-05,769.5056881923475,0.05,False,False,False,False,False
13,subtraction,powers,0.6294244172828636,18.83385439053676,0.2,False,False,False,False,False
13,multiplication,addition,0.0013743684449014704,459.7741576754695,0.02,False,False,False,False,False
13,multiplication,subtraction,2.0823647325086756e-06,910.4402490045512,0.0,False,False,False,False,False
13,multiplication,multiplication,0.9981479169020341,0.16562630943745235,0.8333333333333334,False,True,True,True,True
13,multiplication,powers,0.8707517305025838,5.440534712765346,0.21666666666666667,False,False,False,False,False
13,powers,addition,0.014213302093444881,213.83701007815048,0.04666666666666667,False,False,False,False,False
13,powers,subtraction,4.623330893764263e-05,644.8713699754084,0.013333333333333334,False,False,False,False,False
13,powers,multiplication,0.03474840357684086,213.29060133860523,0.09333333333333334,False,False,False,False,False
13,powers,powers,0.9968785633111031,0.14743332605155476,0.89,True,True,False,True,False
14,addition,addition,0.9976860714007074,0.12694903176120279,0.8966666666666666,True,True,False,True,False
14,addition,subtraction,0.12076588820950208,121.42930972446798,0.1,False,False,False,False,False
14,addition,multiplication,0.002134795032679823,310.8566431348132,0.006666666666666667,False,False,False,False,False
14,addition,powers,0.9347833249847002,8.00998824961459,0.2,False,True,True,False,False
14,subtraction,addition,0.14151789986251195,113.41681013716882,0.11333333333333333,False,False,False,False,False
14,subtraction,subtraction,0.9984559575704,0.10513726492083714,0.8966666666666666,True,True,False,True,False
14,subtraction,multiplication,1.145676605980226e-06,672.2488088147794,0.016666666666666666,False,False,False,False,False
14,subtraction,powers,0.8386780187373534,19.164618986950757,0.06,False,False,False,False,False
14,multiplication,addition,0.008438585437153234,387.6683092770818,0.0033333333333333335,False,False,False,False,False
14,multiplication,subtraction,3.15218989328462e-07,885.7750585247754,0.006666666666666667,False,False,False,False,False
14,multiplication,multiplication,0.997509715860853,0.4684123356601877,0.8133333333333334,False,True,True,True,True
14,multiplication,powers,0.9608292320495225,5.021619243689217,0.29333333333333333,False,True,True,False,False
14,powers,addition,0.1755852261478662,92.927333315739,0.043333333333333335,False,False,False,False,False
14,powers,subtraction,0.0007419723541974877,389.7738028834253,0.023333333333333334,False,False,False,False,False
14,powers,multiplication,0.0324279016480635,199.9084808423864,0.09333333333333334,False,False,False,False,False
14,powers,powers,0.9897940402543091,0.5119233208910142,0.79,False,True,True,False,False
